x,y,z
1.39973533,-14.90028572,0.03619251
1.49973536,-14.90028572,0.03618771
1.59973538,-14.90028572,0.03615526
1.6997354,-14.90028572,0.03605521
1.79973543,-14.90028572,0.03596127
1.89973545,-14.90028572,0.03587346
1.99973547,-14.90028572,0.03579185
2.0997355,-14.90028572,0.03572916
2.1997354,-14.90028572,0.03567425
2.29973531,-14.90028572,0.0356243
2.39973521,-14.90028572,0.03555797
2.49973512,-14.90028572,0.03543767
2.59973502,-14.90028572,0.0353224
2.69973493,-14.90028572,0.0352122
2.79973483,-14.90028572,0.03510712
2.89973474,-14.90028572,0.03500721
2.99973464,-14.90028572,0.03491251
3.09973454,-14.90028572,0.03482307
3.19973445,-14.90028572,0.03473261
3.29973435,-14.90028572,0.03463044
3.39973426,-14.90028572,0.0345334
3.49973416,-14.90028572,0.03444153
3.59973407,-14.90028572,0.03435488
3.69973397,-14.90028572,0.03427348
3.79973388,-14.90028572,0.03419737
3.89973378,-14.90028572,0.03412659
3.99973369,-14.90028572,0.03406116
4.09973383,-14.90028572,0.03390158
4.19973373,-14.90028572,0.03373876
4.29973364,-14.90028572,0.03358107
4.39973354,-14.90028572,0.03342857
4.49973345,-14.90028572,0.03329227
4.59973335,-14.90028572,0.03318353
4.69973326,-14.90028572,0.03307883
4.79973316,-14.90028572,0.03297823
4.89973307,-14.90028572,0.03288174
4.99973297,-14.90028572,0.03274779
5.09973288,-14.90028572,0.03257954
5.19973278,-14.90028572,0.03241492
5.29973269,-14.90028572,0.03225398
5.39973259,-14.90028572,0.03209678
5.49973249,-14.90028572,0.03194338
5.5997324,-14.90028572,0.03179383
5.6997323,-14.90028572,0.03164819
5.79973221,-14.90028572,0.0315065
5.89973211,-14.90028572,0.03137997
5.99973202,-14.90028572,0.0312123
6.09973192,-14.90028572,0.03104647
6.19973183,-14.90028572,0.03088416
6.29973173,-14.90028572,0.03072541
6.39973164,-14.90028572,0.03057028
6.49973154,-14.90028572,0.03041884
6.59973145,-14.90028572,0.03027112
6.69973135,-14.90028572,0.03012719
6.79973125,-14.90028572,0.02998711
6.89973116,-14.90028572,0.02985092
6.99973106,-14.90028572,0.02966668
7.09973097,-14.90028572,0.02946191
7.19973087,-14.90028572,0.02926024
7.29973078,-14.90028572,0.02906173
7.39973068,-14.90028572,0.02887266
7.49973059,-14.90028572,0.02873386
7.59973049,-14.90028572,0.0285982
7.6997304,-14.90028572,0.02846572
7.7997303,-14.90028572,0.02833646
